X,Y,OBJECTID_1,NAZIV,ADRESA
15.8280726020001,45.7787971230001,90,CRODIESEL,KERESTINEČKA 129A
15.891780092,45.7962565500001,91,ZAGREBAČKI PROMETNI ZAVOD,LJUBLJANSKA AVENIJA 1
15.8981328560001,45.7974507910001,92,AGS HRVATSKA,ZAGREBAČKA AVENIJA 100B
15.902976487,45.7970185070001,93,ZAGREBAČKI PROMETNI ZAVOD,ZAGREBAČKA AVENIJA 96
16.0132749040001,45.8032674090001,94,KONZUM PLUS,ULICA GRADA VUKOVARA 275
16.074835883,45.8021854680001,95,AUTO PLIN,ČULINEČKA CESTA 248
16.0749213450001,45.8042577800001,96,PLINKA-PUH,I. RESNIK 6
16.066773278,45.810244821,97,AUTO PLIN,I. RESNIČKI GAJ 18
16.0822497840001,45.827046909,98,APIOS,ZAGREBAČKA CESTA 162
16.1001218260001,45.8285105950001,99,AGS HRVATSKA,ZAGREBAČKA CESTA 34
16.1185451010001,45.824277534,100,KONZUM PLUS,BJELOVARSKA ULICA 48B
16.1631528560001,45.8204791210001,101,AGS HRVATSKA,KOBILJAČKA CESTA 102
16.1519550560001,45.8617308990001,102,GALIĆ-BENZ,SOBLINEČKA ULICA 46
16.123451174,45.9155467050001,103,VUGIP,CESTA IVANA MAŽURANIĆA 110
16.0238368600001,45.8598604630001,104,ŠIMA,ŠTEFANOVEC 40
16.000648487,45.7426165370001,105,NOVAK-BENZ,AVENIJA VEĆESLAVA HOLJEVCA 53 (BANI ODVOJAK 1)
15.932316744,45.740449224,106,EURO BENZ,ULICA DR. LUJE NALETILIĆA 94A
15.9424734730001,45.715828743,107,MARP-PROMET,OBREŠKA CESTA 119
