X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
16.0014830000001,45.7823369990001,129,Most mladosti - istok,"6,7,8,31",smjer Av. Marina Držića,
16.001273,45.7819509990001,130,Most mladosti - zapad,"6,7,8,31",smjer Novi Zagreb,
16.038197,45.792589999,131,Munja - istok,"2,3,33",smjer Av. Marina Držića,
16.0384750000001,45.793169999,132,Munja - zapad,"2,3,33",smjer Savišće,
15.979589001,45.777478999,133,Muzej suv.umjetnosti - jug,"7,14,31",smjer Zapruđe,
15.980942,45.7776049990001,134,Muzej suv.umjetnosti - sjever,"7,14,31",smjer Savski most,
15.9484180000001,45.798757999,135,Nehajska - jug,"3,9,12,34",smjer Savska cesta,
15.947027,45.798441999,136,Nehajska - sjever,"3,9,12,34",smjer Ljubljanica,
15.999764,45.801276999,137,Olibska - jug,"2,3,13,33",smjer Žitnjak,
16.0000390000001,45.8013559990001,138,Olibska - sjever,"2,3,13,33",smjer Av. Marina Držića,
15.9911690000001,45.813956999,139,Petrova - sjever,"4,11,12,34",smjer Draškovićeva ulica,
15.9915800000001,45.8138299990001,140,Petrova - jug,"4,11,12,34",smjer Dubrava\Dubec,"Linija 12 prometuju do okretišta Dubrava, linije 4,11,34 smjer Dubec"
15.9069690000001,45.792385999,141,Petrovaradinska - jug,"5,17,32",smjer Savska cesta,
15.9052760000001,45.792632999,142,Petrovaradinska - sjever,"5,17,32",smjer Prečko,
16.072842,45.8281759990001,143,Poljanice IV - jug,"4,7,11,34",smjer Dubec ,
16.0726550000001,45.8283549990001,144,Poljanice IV - sjever,"4,7,11,34",smjer Kvaternikov trg,
15.892596,45.7942699990001,145,Prečko izlaz - sjever,"5,17,32",terminal  Prečko ,
15.8934790000001,45.794363999,146,Prečko ulaz - jug,"5,17,32",smjer Savska cesta,
15.9569970000001,45.791569999,147,Prisavlje - istok,"4,5,14,17,32",smjer prema gradu,
15.9560090000001,45.7904159990001,148,Prisavlje - zapad,"4,5,14,17,32",smjer Savski most\Prečko,"Linije 4,14 smjer okretište Savski most, linije 5,17 i 32  smjer Prečko"
15.9780700000001,45.8317539990001,149,Radićevo šetalište - istok,"8,14,33",smjer Mihaljevac,
15.977962,45.831981999,150,Radićevo šetalište - zapad,"8,14,33",smjer Draškovićeva ulica,
16.0038650000001,45.801480999,151,Radnička - jug,"2,3,13,33",smjer Žitnjak,
16.0046830000001,45.801593999,152,Radnička - sjever,"2,3,13,33",smjer Av. Marina Držića,
16.027505999,45.822059999,153,Ravnice - jug,"4,5,7,11,12,34",smjer Dubrava\Dubec,"Linije 5 i 12 prometuju do okretišta Dubrava, linije 4,7,11,34 smjer Dubec"
16.028334,45.822373999,154,Ravnice - sjever,"4,5,7,11,12,34",smjer Kvaternikov trg,
15.914718001,45.7916069990001,155,Vrbani - jug,"5,17,32",smjer Savska cesta,
15.912919,45.791867999,156,Vrbani - sjever,"5,17,32",smjer Prečko,
16.0344690000001,45.7890819990001,157,Savišće izlaz - zapad,"2,3,33",terminal Savišće,
16.034923,45.7893989990001,158,Savišće ulaz - istok,"2,3,33",smjer Av.Marina.Držića,
15.9567850010001,45.777078999,159,Savski gaj - jug,"7,14,31",smjer Zapruđe,
15.95633,45.7771799990001,160,Savski gaj - sjever,"7,14,31",smjer Savski most,
15.9524459990001,45.7851009990001,161,Savski most izlaz - zapad,"4,7,31",terminal  Savski most,
15.953386,45.7862259990001,162,Savski most ulaz 4 - istok ,4,"terminal Savski most, smjer Glavni kolodvor",
15.953176,45.7860019990001,163,Savski most ulaz 7 - istok ,"7,31","terminal Savski most, smjer Novi Zagreb",
15.9441390000001,45.7977979990001,164,Selska - jug ,"3,9,12,34",smjer Savska cesta,
15.9423550000001,45.797698999,165,Selska - sjever,"3,9,12,34",smjer Ljubljanica,
15.9839020000001,45.8083569990001,166,Sheraton - istok,"4,8,33,34",smjer Trg hrvatskih velikana,
15.9846160000001,45.8080819990001,167,Sheraton - jug,"9,13",smjer Borongaj,
15.983844,45.8069849990001,168,Sheraton - zapad,"4,8,9,13,33,34",smjer Glavni kolodvor\Autobusni kolodvor,"Linije 4,9,13 smjer Glavni kolodvor, linija 8,33 i 34 smjer Autobusni kolodvor"
15.898938,45.794163999,169,Slavenskog - jug,"5,17,32",smjer Savska cesta,
15.8984810000001,45.794390999,170,Slavenskog - sjever,"5,17,32",smjer Prečko,
15.998590001,45.7969009990001,171,Slavonska  - zapad,"6,7,8,31",smjer Zapruđe,
15.998908,45.7966019990001,172,Slavonska - istok,"6,7,8,31",smjer Autobusni kolodvor,
15.951808,45.8124149990001,173,Slovenska - jug,"2,6,11,31",smjer Trg bana J. Jelačića\Glavni kolodvor,"Linija 2 smjer Glavni kolodvor, linije 6,11 i 31 smjer Trg bana J. Jelačića"
15.9525600000001,45.8125419990001,174,Slovenska - sjever,"2,6,11,31",smjer Črnomerec,
15.984611,45.7776919990001,175,Sopot  - sjever,"6,7,14,31",smjer Savski most,"linija 14,7 smjer Savski most, posljednje stajalište na liniji 6"
15.9868050000001,45.7776719990001,176,Sopot - jug,"6,7,14,31",smjer Zapruđe,
15.9915950000001,45.777795999,177,Središće - jug,"6,7,14,31",smjer Zapruđe,
15.989319999,45.7778119990001,178,Središće - sjever,"6,7,14,31",smjer Savski most,Linija 6 prometuje do Sopota
15.936812,45.7881139990001,179,Srednjaci - jug,"5,17,32",smjer Savska cesta,
15.937464,45.788217999,180,Srednjaci - sjever,"5,17,32",smjer Prečko,
15.9517740000001,45.786259999,181,St. dom S. Radić  -istok,"7,14,31",smjer Savski most,
15.950969,45.786375999,182,St. dom S. Radić - jug,"5,17,32",smjer Savska cesta,
15.9524270000001,45.786774999,183,St. dom S. Radić - sjever,"5,17,14,31,32",smjer Prečko\Zapruđe,"Linije 5,17 i 32 smjer Prečko, linija 14 i 31 smjer Zapruđe"
15.9294550000001,45.7878979990001,184,Staglišće -jug,"5,17,32",smjer Savska cesta,
15.9300890000001,45.7878249990001,185,Staglišće - sjever,"5,17,32",smjer Prečko,
15.9889380000001,45.8007289990001,186,Strojarska - jug,"3,5,13,33",smjer Av. Marina Držića,
15.989557,45.800822999,187,Strojarska - sjever,"3,5,13,33",smjer Savska cesta,
15.964723,45.8029079990001,188,Studentski centar - istok,"3,4,13,14,17,32,33",smjer prema gradu,
15.964259,45.802517999,189,Studentski centar - zapad,"3,4,13,14,17,32,33",smjer iz grada,
15.993654,45.810759999,190,Šubićeva - istok,"5,7,13",smjer Kvaternikov trg,
15.9942879990001,45.8104469990001,191,Šubićeva - jug,"1,9,17,32",smjer Borongaj,
15.992281,45.8102669990001,192,Šubićeva - sjever,"1,9,13,17,32",smjer Trg žrtava fašizma,
15.9928679990001,45.809875999,193,Šubićeva - zapad,"5,7",smjer Autobusni kolodvor,
16.004512,45.8131969990001,194,Šulekova - jug,"1,9,17,32",smjer Borongaj,
16.00474,45.8133549990001,195,Šulekova - sjever,"1,9,17,32",smjer Trg žrtava fašizma,
15.9430090000001,45.8132189990001,196,Sveti Duh - jug,"2,6,11,31",smjer Trg bana J. Jelačića\Glavni kolodvor,"Linija 2 smjer Glavni kolodvor, linije 6,11 i 31 smjer Trg bana J. Jelačića"
15.9426330000001,45.813412999,197,Sveti Duh - sjever,"2,6,11,31",smjer Črnomerec,
16.0134190000001,45.815389999,198,Svetice  - sjever,"1,9,17,32",smjer Trg žrtava fašizma,
16.0127420000001,45.815388999,199,Svetice - jug,"1,9,17,32",smjer Borongaj,
15.9710650000001,45.799814999,200,Sveučilišna al. - jug,"3,5,13,33",smjer Av. Marina Držića,
15.9694280000001,45.799809999,201,Sveučilišna al. - sjever,"3,5,13,33",smjer Savska cesta,
15.957009,45.8096859990001,202,Talovčeva - zapad,"1,2",smjer Zapadni kolodvor/Glavni kolodvor,
15.9643700010001,45.8032449990001,203,Tehnički muzej - jug,"3,9,12,34",smjer Savska cesta,
15.963558,45.803442999,204,Tehnički muzej - sjever,"3,9,12,34",smjer Ljubljanica,
15.954920364,45.8000222220001,205,Trešnjevački trg - jug,"3,9,12,34",smjer Savska cesta,
15.9544500000001,45.800105999,206,Trešnjevački trg - sjever,"3,9,12,34",smjer Ljubljanica,
15.956845,45.813120999,207,Trg dr. F. Tuđmana - jug,"2,6,11,31",smjer Trg bana J. Jelačića\Glavni kolodvor,"Linija 2 smjer Glavni kolodvor, linije 6,11 i 31 smjer Trg bana J. Jelačića"
15.958083,45.813191999,208,Trg dr. F. Tuđmana - sjever,"1,6,11,31",smjer Črnomerec\Zapadni kolodvor,"Linija 1 smjer Zapadni kolodvor, linije 6,11 i 31 smjer Črnomerec"
