X,Y,naziv,class
15.875141867,45.8138761120001,INA,benzinske
15.9085285140001,45.8123392740001,INA,benzinske
15.931862697,45.8146043780001,INA,benzinske
15.9783551140001,45.833513494,INA,benzinske
15.981874654,45.8146730810001,INA,benzinske
16.0132078930001,45.8194280370001,INA,benzinske
16.0303382270001,45.8223634990001,INA,benzinske
16.030017,45.8231070800001,INA,benzinske
16.056327394,45.8300386490001,INA,benzinske
16.098844435,45.8282368610001,INA,benzinske
16.105532436,45.827393461,INA,benzinske
16.142817934,45.825478995,INA,benzinske
16.0844864900001,45.8053882830001,INA,benzinske
16.0590393430001,45.80112072,INA,benzinske
16.0378101090001,45.7986449700001,INA,benzinske
16.0347310230001,45.80431521,INA,benzinske
16.010354754,45.8035202950001,INA,benzinske
16.011366144,45.808469217,INA,benzinske
15.9934230650001,45.805463522,INA,benzinske
16.0082329300001,45.795933086,INA,benzinske
16.0037875260001,45.788316432,INA,benzinske
16.0049774940001,45.7888679910001,INA,benzinske
15.9834612170001,45.800700218,INA,benzinske
15.974773666,45.8016980840001,INA,benzinske
15.960542585,45.808502676,INA,benzinske
15.960482826,45.80671425,INA,benzinske
15.9595917570001,45.8038023840001,INA,benzinske
15.9556255530001,45.799841772,INA,benzinske
15.9432243970001,45.79970939,INA,benzinske
15.9255899770001,45.7944450590001,INA,benzinske
15.9175711940001,45.795744245,INA,benzinske
15.914907387,45.8005452040001,INA,benzinske
15.8971328120001,45.7972853420001,INA,benzinske
15.8773470890001,45.774894703,INA,benzinske
15.8817728870001,45.7741380350001,INA,benzinske
15.93689591,45.7706030840001,INA,benzinske
15.9361035480001,45.7715239350001,INA,benzinske
15.9712963320001,45.776809352,INA,benzinske
15.998515432,45.7784473830001,INA,benzinske
15.9912132640001,45.7697334800001,INA,benzinske
15.990663607,45.7693908370001,INA,benzinske
15.8658979580001,45.7971071960001,TIFON,benzinske
15.924426274,45.7885343350001,TIFON,benzinske
15.9017645650001,45.759044981,TIFON,benzinske
15.9011539850001,45.7188997800001,TIFON,benzinske
15.9913411100001,45.749261274,TIFON,benzinske
16.1144782860001,45.8033456210001,TIFON,benzinske
15.8621212460001,45.81199516,CRODUX,benzinske
15.9097620520001,45.795800549,CRODUX,benzinske
16.012458102,45.7958593810001,CRODUX,benzinske
16.00947287,45.796544269,CRODUX,benzinske
16.054475665,45.8014507180001,CRODUX,benzinske
16.109150861,45.805745605,CRODUX,benzinske
16.102094014,45.819239687,CRODUX,benzinske
16.1002665880001,45.823426587,CRODUX,benzinske
16.150542021,45.824897332,CRODUX,benzinske
16.1921789260001,45.8689516250001,CRODUX,benzinske
16.1926000890001,45.8702793640001,CRODUX,benzinske
16.0254571310001,45.8147763630001,CRODUX,benzinske
15.9803416940001,45.7688555660001,CRODUX,benzinske
15.9284773800001,45.767916686,CRODUX,benzinske
15.8997453900001,45.7604689730001,CRODUX,benzinske
16.0136917790001,45.734352786,CRODUX,benzinske
15.8444114960001,45.814667408,PETROL,benzinske
15.8587429900001,45.808013245,PETROL,benzinske
15.9190345270001,45.803546441,PETROL,benzinske
16.03471132,45.8164372200001,PETROL,benzinske
16.04018884,45.8172260110001,PETROL,benzinske
16.0579586540001,45.820376417,PETROL,benzinske
16.04515188,45.8262396270001,PETROL,benzinske
16.131468414,45.823951181,PETROL,benzinske
16.0969460040001,45.8067143650001,PETROL,benzinske
16.075602239,45.803049995,PETROL,benzinske
15.950014287,45.7689787310001,PETROL,benzinske
15.9474052080001,45.7564401610001,PETROL,benzinske
15.981534362,45.7612273390001,PETROL,benzinske
15.8527305690001,45.814967466,LUKOIL,benzinske
15.901139873,45.812425542,LUKOIL,benzinske
15.895154398,45.796756256,LUKOIL,benzinske
15.9450136240001,45.8074777510001,LUKOIL,benzinske
16.0459725960001,45.8372493730001,LUKOIL,benzinske
16.0953174420001,45.826821087,LUKOIL,benzinske
16.0348708990001,45.787888346,LUKOIL,benzinske
16.053444675,45.7787455650001,LUKOIL,benzinske
16.055332777,45.778574244,LUKOIL,benzinske
15.96244583,45.7773154430001,LUKOIL,benzinske
15.9518314100001,45.7729077290001,LUKOIL,benzinske
15.8594720670001,45.811117939,ADRIA OIL,benzinske
15.8674182770001,45.8121684720001,PLINSKI CENTAR ZAGREB,benzinske
15.8280726020001,45.7787971230001,CRODIESEL,benzinske
15.891780092,45.7962565500001,ZAGREBAČKI PROMETNI ZAVOD,benzinske
15.8981328560001,45.7974507910001,AGS HRVATSKA,benzinske
15.902976487,45.7970185070001,ZAGREBAČKI PROMETNI ZAVOD,benzinske
16.0132749040001,45.8032674090001,KONZUM PLUS,benzinske
16.074835883,45.8021854680001,AUTO PLIN,benzinske
16.0749213450001,45.8042577800001,PLINKA-PUH,benzinske
16.066773278,45.810244821,AUTO PLIN,benzinske
16.0822497840001,45.827046909,APIOS,benzinske
16.1001218260001,45.8285105950001,AGS HRVATSKA,benzinske
16.1185451010001,45.824277534,KONZUM PLUS,benzinske
16.1631528560001,45.8204791210001,AGS HRVATSKA,benzinske
16.1519550560001,45.8617308990001,GALIĆ-BENZ,benzinske
16.123451174,45.9155467050001,VUGIP,benzinske
16.0238368600001,45.8598604630001,ŠIMA,benzinske
16.000648487,45.7426165370001,NOVAK-BENZ,benzinske
15.932316744,45.740449224,EURO BENZ,benzinske
15.9424734730001,45.715828743,MARP-PROMET,benzinske
15.9769260385409,45.8143171094477,Tržnica Dolac,wifi
15.955322336494,45.8104908676842,Trg Francuske republike,wifi
15.9931240040326,45.803682891474,Autobusni kolodvor Zagreb,wifi
15.9936205780272,45.8033442603025,Autobusni kolodvor Zagreb,wifi
15.9839509403648,45.8121311464849,Trg hrvatskih velikana,wifi
15.9774081334006,45.8125900535408,Trg Bana Josipa Jelačića,wifi
15.9775089020048,45.8124707705533,Trg Bana Josipa Jelačića,wifi
15.9761330838348,45.8131960312615,Trg Bana Josipa Jelačića,wifi
15.9762725328366,45.8127731208262,Trg Bana Josipa Jelačića,wifi
15.9784018539489,45.8127886277939,Trg Bana Josipa Jelačića,wifi
15.9786807641627,45.8125234803629,Trg Bana Josipa Jelačića,wifi
15.9733019807179,45.8159384800059,Trg Sv. Marka,wifi
15.9734283049648,45.8155168930213,Trg Sv. Marka,wifi
15.9737936232027,45.814661657447,Palača Dverce,wifi
15.9734431030684,45.8144888144087,Palača Dverce,wifi
15.9739324213502,45.8142020524409,Palača Dverce,wifi
15.9792691206335,45.8074851464926,Trg kralja Tomislava,wifi
15.979369644165,45.8062854891381,Trg kralja Tomislava,wifi
15.9794140287268,45.805340747087,Trg kralja Tomislava,wifi
15.9779368650679,45.8057186197961,Trg kralja Tomislava,wifi
15.9777845417082,45.8074022536506,Trg kralja Tomislava,wifi
15.9770720474635,45.8045905604572,Trg kralja Tomislava,wifi
15.9792292342213,45.8083849422462,Trg Josipa Jurja Strossmayera,wifi
15.9776518600679,45.8094302329954,Trg Josipa Jurja Strossmayera,wifi
15.9777432305046,45.8082068988907,Trg Josipa Jurja Strossmayera,wifi
15.9791527855854,45.8093603132754,Trg Josipa Jurja Strossmayera,wifi
15.9781952997562,45.8103762146214,Trg Nikole Šubića Zrinskog,wifi
15.9788731635164,45.8106042418376,Trg Nikole Šubića Zrinskog,wifi
15.9772951051796,45.8114025789525,Trg Nikole Šubića Zrinskog,wifi
15.9709262176815,45.8090450783134,Trg Republike Hrvatske (HNK),wifi
15.9692343883491,45.8090054933746,Trg Republike Hrvatske (HNK),wifi
15.9692003012238,45.8102203730565,Trg Republike Hrvatske (HNK),wifi
15.970606011975,45.8101888369512,Trg Republike Hrvatske (HNK),wifi
15.9976182111157,45.8143837487622,Trg Eugena Kvaternika,wifi
15.9970133332197,45.8149008981119,Trg Eugena Kvaternika,wifi
15.9967023267327,45.8144167392861,Trg Eugena Kvaternika,wifi
15.9785153850318,45.8158622250214,Kaptol,wifi
15.9786933724878,45.8144164688438,Kaptol,wifi
15.9746271356059,45.8121633072371,Trg Petra Preradovića,wifi
15.9743406654919,45.8123645506561,Trg Petra Preradovića,wifi
15.9661761696667,45.803571502655,Studentski Centar (Savska cesta 25),wifi
